BLS Job Title,LONG_OCC_CODE,Percentage with AA Degree or Less,Percentage with BA Degree or More,Total Employment (National),Mean Annual Wage (National),Annual Wage 10th Pct (National),Annual Wage 25th Pct (National),Median Annual Wage (National),Annual Wage 75th Pct (National),Annual Wage 90th Pct (National),Typical education needed for entry,Work experience in a related occupation,Non-Entry Level,BA Entry Level,Middle Skilled,Low Wage
Academic / Guidance Counselor,21-1012.91,18.8,81.2,296460.0,61000.0,34380.0,44010.0,57040.0,74430.0,96090.0,Master's degree,None,False,True,False,False
Advertising Sales Representative,41-3011.00,38.6,61.4,129740.0,64660.0,25390.0,35250.0,53310.0,79010.0,118300.0,High school diploma or equivalent,None,False,False,False,True
Career Counselor,21-1012.92,18.8,81.2,296460.0,61000.0,34380.0,44010.0,57040.0,74430.0,96090.0,Master's degree,None,False,True,False,False
Community Health Worker,21-1094.00,44.8,55.3,58950.0,44390.0,26660.0,32850.0,40360.0,52850.0,68350.0,High school diploma or equivalent,None,False,False,False,True
Credit / Loan Counselor,13-2071.91,49.0,51.1,32110.0,50230.0,31670.0,37250.0,45950.0,58470.0,76740.0,Bachelor's degree,None,False,True,False,False
Director of Training and Development,11-3131.00,36.2,63.8,38510.0,123470.0,64720.0,84720.0,113350.0,152340.0,196070.0,Bachelor's degree,5 years or more,True,False,False,False
Editor,27-3041.00,16.4,83.5,95970.0,71910.0,32620.0,44190.0,61370.0,85730.0,122280.0,Bachelor's degree,Less than 5 years,False,True,False,False
Fitness / Wellness Manager,11-9039.02,18.0,82.0,44550.0,92150.0,46110.0,61280.0,85450.0,115990.0,146190.0,Bachelor's degree,Less than 5 years,False,True,False,False
Legal Support Specialist,23-2099.00,59.3,40.8,45080.0,70840.0,32070.0,43950.0,58400.0,93050.0,134710.0,Associate's degree,None,False,False,True,False
Marketing Automation Analyst,13-1161.91,19.6,80.4,678500.0,71570.0,34350.0,46800.0,63790.0,89580.0,122630.0,Bachelor's degree,None,False,True,False,False
Occupational Therapy Assistant,31-2011.00,79.0,20.9,44990.0,61880.0,41730.0,52150.0,61510.0,73190.0,82210.0,Associate's degree,None,False,False,True,False
Residential Community Manager,11-9141.91,57.7,42.2,220750.0,71720.0,31030.0,41630.0,58760.0,84430.0,129160.0,High school diploma or equivalent,Less than 5 years,False,False,True,False
Sales Assistant,41-9099.91,53.0,47.0,118910.0,40620.0,21650.0,24740.0,31820.0,47530.0,69940.0,High school diploma or equivalent,None,False,False,False,True
Sales Trainer,13-1151.00,44.1,55.9,312450.0,65640.0,32680.0,44680.0,61210.0,81290.0,104200.0,Bachelor's degree,Less than 5 years,False,True,False,False
